Date,MKT,SMB,HML,RMW,CMA
20130412,-0.28,-0.18,-0.46,-0.03,0.07
20130415,-2.48,-1.49,-0.28,0,-0.05
20130416,1.47,0.15,0.07,-0.32,-0.06
20130417,-1.46,-0.35,-0.55,0.14,0.28
20130418,-0.71,0.18,0.02,0.41,0.1
20130419,0.97,0.03,0.13,-0.41,0.19
20130422,0.45,-0.19,-0.14,0.25,-0.29
20130423,1.11,0.53,0.63,-0.49,0.25
20130424,0.06,0.51,1.21,0,-0.24
20130425,0.49,0.23,0.01,-0.07,-0.08
20130426,-0.2,-0.35,-0.22,0.1,0.09
20130429,0.67,0.1,-0.07,0.23,-0.32
20130430,0.29,0.36,-0.05,0.18,-0.29
20130501,-1.08,-1.46,-0.27,-0.07,-0.1
20130502,1.04,0.55,0.13,-0.41,-0.25
20130503,1.12,0.6,0.16,-0.15,-0.27
20130506,0.23,0.28,0.84,-0.49,0.06
20130507,0.54,0.19,0.13,0.24,0.29
20130508,0.44,-0.18,0.13,-0.04,-0.15
20130509,-0.31,0.07,-0.3,0.06,-0.17
20130510,0.54,0.41,-0.19,-0.3,-0.02
20130513,-0.02,-0.26,-0.04,-0.41,0.07
20130514,1.1,0.17,0.31,-0.22,0.16
20130515,0.51,-0.11,0.28,-0.05,0.31
20130516,-0.5,0.16,-0.28,0.12,-0.35
20130517,1.04,0.09,0.39,0.08,-0.16
20130520,-0.06,0.43,0.5,0.25,-0.21
20130521,0.16,-0.08,-0.08,0.18,0.21
20130522,-0.92,-0.73,-0.17,0.2,0.34
20130523,-0.19,0.49,-0.08,0.03,0.08
20130524,-0.06,0.15,0.06,-0.04,0
20130528,0.77,0.68,0.21,-0.12,-0.18
20130529,-0.7,-0.25,0.58,-0.24,-0.29
20130530,0.5,0.37,0.49,-0.45,0
20130531,-1.31,0.48,-0.25,0.17,-0.13
20130603,0.48,0.16,-0.1,0.24,-0.06
20130604,-0.55,-0.26,-0.17,0.36,-0.03
20130605,-1.38,0.03,-0.26,0.11,-0.16
20130606,0.89,0.18,0.26,-0.51,0.35
20130607,1.3,-0.44,0.07,-0.25,-0.07
20130610,0.07,0.66,0.22,-0.21,-0.11
20130611,-1.04,-0.03,-0.58,0.39,0.01
20130612,-0.82,0.04,0.02,0.13,0.15
20130613,1.47,0.14,0.31,-0.16,0.27
20130614,-0.59,-0.28,-0.54,0.19,-0.03
20130617,0.74,-0.09,0.02,-0.24,-0.38
20130618,0.8,0.37,-0.05,0,0.03
20130619,-1.28,0.21,0.11,-0.02,-0.29
20130620,-2.45,0.02,0.34,0.08,-0.12
20130621,0.13,0.19,-0.09,-0.19,0.11
20130624,-1.19,0.01,-0.66,0.23,-0.14
20130625,0.96,0.07,0.87,-0.29,0.3
20130626,0.92,-0.72,-0.13,0.01,0.19
20130627,0.77,0.86,0.36,-0.43,0.23
20130628,-0.33,0.3,-0.14,0.19,-0.32
20130701,0.71,0.73,-0.14,-0.33,0
20130702,-0.1,0.03,0.09,0.1,-0.09
20130703,0.11,0.17,-0.21,0.18,-0.06
20130705,1.11,0.42,0.45,-0.33,0.14
20130708,0.53,-0.15,0.05,0.16,0.11
20130709,0.74,0.05,0.26,-0.01,0.03
20130710,0.06,0.29,-0.41,-0.09,-0.1
20130711,1.32,-0.19,-0.62,-0.14,-0.16
20130712,0.33,-0.03,0.2,-0.67,0.05
20130715,0.2,0.55,0.34,-0.03,0.08
20130716,-0.41,0.03,0.09,0.14,0.27
20130717,0.3,-0.04,0.18,-0.45,0.04
20130718,0.54,0.14,0.96,-0.2,0.21
20130719,0.09,-0.1,0.28,-0.33,0.48
20130722,0.22,0.11,0.29,-0.13,0.08
20130723,-0.15,0.1,0.28,-0.02,0.29
20130724,-0.39,-0.29,-0.26,0.64,-0.08
20130725,0.42,0.48,-0.35,-0.47,-0.27
20130726,0.02,-0.65,-0.21,0.15,-0.19
20130729,-0.37,-0.33,-0.28,0.3,-0.16
20130730,0.12,0.16,-0.51,0.13,-0.08
20130731,0.09,0.2,0.09,-0.01,-0.05
20130801,1.4,0.09,0.05,-0.22,-0.17
20130802,0.2,-0.24,-0.33,-0.01,-0.06
20130805,-0.07,0.49,-0.17,-0.05,-0.08
20130806,-0.68,-0.35,-0.1,0.34,-0.05
20130807,-0.42,-0.35,0.02,0.29,0.06
20130808,0.47,-0.01,-0.01,-0.03,0.15
20130809,-0.29,0.13,-0.2,0.14,-0.18
20130812,-0.02,0.56,-0.22,0.15,-0.08
20130813,0.2,-0.28,-0.05,0.07,-0.11
20130814,-0.5,0.14,0.28,-0.05,0.02
20130815,-1.47,-0.37,0.29,-0.05,0.03
20130816,-0.26,0.05,0.09,-0.15,-0.13
20130819,-0.62,-0.26,-0.75,0.61,-0.33
20130820,0.53,0.86,0.13,-0.35,0.09
20130821,-0.59,-0.07,-0.46,-0.08,-0.31
20130822,0.93,0.5,0.05,-0.33,-0.19
20130823,0.38,-0.27,-0.14,0.1,-0.25
20130826,-0.29,0.47,-0.5,-0.12,-0.25
20130827,-1.75,-0.75,-0.32,0.69,0.04
20130828,0.3,0.12,0.08,-0.04,-0.09
20130829,0.34,0.73,-0.41,-0.39,-0.25
20130830,-0.47,-1.14,-0.21,0.02,-0.1
